stateid,statename,year,vio,mur,shall
1,Alabama,1977,414.3999939,14.19999981,0
1,Alabama,1978,419.1000061,13.30000019,0
1,Alabama,1979,413.2999878,13.19999981,0
1,Alabama,1980,448.5,13.19999981,0
1,Alabama,1981,470.5,11.89999962,0
1,Alabama,1982,447.7000122,10.60000038,0
1,Alabama,1983,416,9.199999809,0
1,Alabama,1984,431.2000122,9.399999619,0
1,Alabama,1985,457.5,9.800000191,0
1,Alabama,1986,558,10.10000038,0
1,Alabama,1987,559.2000122,9.300000191,0
1,Alabama,1988,558.5999756,9.899999619,0
1,Alabama,1989,590.7999878,10.19999981,0
1,Alabama,1990,708.5999756,11.60000038,0
1,Alabama,1991,844.2000122,11.5,0
1,Alabama,1992,871.7000122,11,0
1,Alabama,1993,780.4000244,11.60000038,0
1,Alabama,1994,683.7000122,11.89999962,0
1,Alabama,1995,632.4000244,11.19999981,0
1,Alabama,1996,565.4000244,10,0
1,Alabama,1997,564.5,9.899999619,0
1,Alabama,1998,512.0999756,8.100000381,0
1,Alabama,1999,490.2000122,7.900000095,0
2,Alaska,1977,443.2000122,10.80000019,0
2,Alaska,1978,441.8999939,12.89999962,0
2,Alaska,1979,491.1000061,13.30000019,0
2,Alaska,1980,436,8.899999619,0
2,Alaska,1981,615.7999878,14.60000038,0
2,Alaska,1982,623.7000122,18.5,0
2,Alaska,1983,613.7999878,13.80000019,0
2,Alaska,1984,621.5999756,11.60000038,0
2,Alaska,1985,581.7999878,9.800000191,0
2,Alaska,1986,570.4000244,8.600000381,0
2,Alaska,1987,455.3999939,10.10000038,0
2,Alaska,1988,522.7999878,5.699999809,0
2,Alaska,1989,497.7000122,8,0
2,Alaska,1990,524.5,7.5,0
2,Alaska,1991,613.9000244,7.400000095,0
2,Alaska,1992,660.5,7.5,0
2,Alaska,1993,760.7999878,9,0
2,Alaska,1994,766.2999878,6.300000191,0
2,Alaska,1995,770.9000244,9.100000381,1
2,Alaska,1996,727.7000122,7.400000095,1
2,Alaska,1997,701.0999756,8.899999619,1
2,Alaska,1998,653.9000244,6.699999809,1
2,Alaska,1999,631.5,8.600000381,1
4,Arizona,1977,494.2000122,9.5,0
4,Arizona,1978,552.0999756,9.399999619,0
4,Arizona,1979,593,8.899999619,0
4,Arizona,1980,650.9000244,10.30000019,0
4,Arizona,1981,575.7999878,8.100000381,0
4,Arizona,1982,517,8.300000191,0
4,Arizona,1983,494.2000122,7.199999809,0
4,Arizona,1984,516.0999756,7.800000191,0
4,Arizona,1985,602.5,8,0
4,Arizona,1986,658.2999878,9.300000191,0
4,Arizona,1987,612.5999756,7.5,0
4,Arizona,1988,610.0999756,8.5,0
4,Arizona,1989,599.5999756,6.699999809,0
4,Arizona,1990,652.4000244,7.699999809,0
4,Arizona,1991,670.7000122,7.800000191,0
4,Arizona,1992,670.7999878,8.100000381,0
4,Arizona,1993,715,8.600000381,0
4,Arizona,1994,703.0999756,10.5,0
4,Arizona,1995,713.5,10.39999962,1
4,Arizona,1996,631.5,8.5,1
4,Arizona,1997,623.7000122,8.199999809,1
4,Arizona,1998,577.9000244,8.100000381,1
4,Arizona,1999,551.2000122,8,1
5,Arkansas,1977,322.8999939,8.800000191,0
5,Arkansas,1978,344.1000061,9.100000381,0
5,Arkansas,1979,366.2000122,9.100000381,0
5,Arkansas,1980,335.2000122,9.199999809,0
5,Arkansas,1981,310.2999878,9.100000381,0
5,Arkansas,1982,324.7000122,8.199999809,0
5,Arkansas,1983,297.7000122,7.599999905,0
5,Arkansas,1984,321.3999939,7.5,0
5,Arkansas,1985,347.6000061,7.900000095,0
5,Arkansas,1986,394.7999878,8.100000381,0
5,Arkansas,1987,412,7.599999905,0
5,Arkansas,1988,422.7000122,8.699999809,0
5,Arkansas,1989,473.7000122,8.399999619,0
